ptint	 lfx	 lfy	 lfz	 rfx	 rfy	 rfz	 tfx	 tfy	 tfz	 trx	 try	 trz	 tmx	 tmy	 tmz	 tix	 tiy	 tiz	 tdx	 tdy	 tdz	 imx	 imy	 imz	 ipx	 ipy	 ipz	 iphx	 iphy	 iphz	 idx	 idy	 idz	 mmx	 mmy	 mmz	 mpx	 mpy	 mpz	 mphx	 mphy	 mphz	 mdx	 mdy	 mdz	 rmx	 rmy	 rmz	 rpx	 rpy	 rpz	 rphx	 rphy	 rphz	 rdx	 rdy	 rdz	 lmx	 lmy	 lmz	 lpx	 lpy	 lpz	 lphx	 lphy	 lphz	 ldx	 ldy	 ldz	 cxth	 cyth	 cxind	 cyind	 cxmid	 cymid	 cxrin	 cyrin	 cxlit	 cylit	 fth	 find	 fmid	 frin	 flit	 cbx	 cby	 cbz	 tqy	 tqz	 fg	 ftl	 ftr	 tx	 ty	 tz	 cond
    
0.0000	-22.7037	92.0013	83.6269	-0.8066	107.4130	85.5005	3.8763	83.9311	80.1537	17.8006	129.3013	57.3449	37.2006	117.9073	32.1756	51.6487	105.9208	5.9014	68.1610	105.7379	-7.7700	35.8913	64.2874	63.6485	58.1177	24.9569	43.0950	66.4704	4.1762	30.5372	71.4283	-12.2614	20.1364	9.2107	55.5266	71.9912	32.2589	7.4359	47.6524	42.7959	-18.1566	31.3102	50.5271	-36.3104	23.0835	-12.7214	50.5456	66.3349	2.2452	7.1961	47.7420	10.0127	-23.3066	34.7830	20.1819	-39.2835	29.1954	-35.8518	51.9204	63.8338	-33.9317	19.3275	45.2494	-36.5980	-3.3573	37.4819	-31.3493	-18.2642	32.3131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	-0.0011	0.0001	-0.0012	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.7028	91.9992	83.6262	-0.8062	107.4111	85.5005	3.8773	83.9297	80.1529	17.8006	129.3009	57.3457	37.2015	117.9085	32.1769	51.6494	105.9183	5.9066	68.1631	105.7408	-7.7680	35.8923	64.2870	63.6478	58.1205	24.9575	43.0931	66.4734	4.1783	30.5336	71.4333	-12.2585	20.1334	9.2125	55.5253	71.9897	32.2616	7.4357	47.6503	42.7997	-18.1559	31.3079	50.5313	-36.3100	23.0820	-12.7198	50.5442	66.3326	2.2485	7.1961	47.7391	10.0166	-23.3064	34.7789	20.1799	-39.2893	29.1933	-35.8497	51.9182	63.8315	-33.9299	19.3263	45.2452	-36.5637	-3.3558	37.5042	-31.3476	-18.2648	32.3080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	-0.0008	0.0000	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.7020	91.9971	83.6255	-0.8057	107.4093	85.5005	3.8783	83.9283	80.1520	17.8006	129.3005	57.3465	37.2024	117.9098	32.1782	51.6501	105.9159	5.9119	68.1653	105.7438	-7.7660	35.8932	64.2866	63.6471	58.1235	24.9582	43.0912	66.4764	4.1806	30.5299	71.4384	-12.2554	20.1302	9.2144	55.5240	71.9881	32.2643	7.4357	47.6481	42.8035	-18.1552	31.3054	50.5356	-36.3094	23.0803	-12.7182	50.5428	66.3302	2.2519	7.1961	47.7361	10.0207	-23.3061	34.7747	20.1779	-39.2951	29.1911	-35.8476	51.9160	63.8291	-33.9280	19.3251	45.2409	-36.5294	-3.3543	37.5263	-31.3459	-18.2654	32.3027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	-0.0005	-0.0001	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.7011	91.9950	83.6248	-0.8053	107.4075	85.5005	3.8793	83.9269	80.1511	17.8006	129.3001	57.3474	37.2032	117.9112	32.1795	51.6509	105.9136	5.9172	68.1674	105.7469	-7.7640	35.8942	64.2862	63.6464	58.1264	24.9589	43.0892	66.4796	4.1829	30.5260	71.4435	-12.2522	20.1269	9.2162	55.5228	71.9866	32.2671	7.4357	47.6459	42.8074	-18.1544	31.3029	50.5400	-36.3089	23.0785	-12.7166	50.5414	66.3277	2.2553	7.1961	47.7331	10.0247	-23.3057	34.7704	20.1759	-39.3009	29.1887	-35.8455	51.9138	63.8267	-33.9261	19.3239	45.2365	-36.4952	-3.3528	37.5482	-31.3442	-18.2660	32.2973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	-0.0001	-0.0002	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.7002	91.9929	83.6241	-0.8050	107.4056	85.5005	3.8802	83.9255	80.1502	17.8005	129.2998	57.3484	37.2041	117.9126	32.1809	51.6517	105.9116	5.9225	68.1696	105.7502	-7.7618	35.8952	64.2859	63.6456	58.1294	24.9597	43.0871	66.4828	4.1853	30.5219	71.4488	-12.2489	20.1235	9.2180	55.5215	71.9849	32.2699	7.4357	47.6436	42.8114	-18.1536	31.3003	50.5444	-36.3082	23.0767	-12.7150	50.5401	66.3252	2.2587	7.1961	47.7299	10.0288	-23.3053	34.7659	20.1738	-39.3068	29.1862	-35.8434	51.9116	63.8242	-33.9242	19.3228	45.2320	-36.4610	-3.3512	37.5700	-31.3424	-18.2665	32.2917	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0002	-0.0002	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.6993	91.9908	83.6233	-0.8046	107.4038	85.5005	3.8812	83.9241	80.1493	17.8005	129.2995	57.3494	37.2051	117.9142	32.1823	51.6525	105.9096	5.9278	68.1719	105.7536	-7.7597	35.8962	64.2855	63.6448	58.1324	24.9605	43.0850	66.4861	4.1879	30.5177	71.4541	-12.2455	20.1200	9.2199	55.5202	71.9833	32.2727	7.4358	47.6413	42.8154	-18.1526	31.2976	50.5489	-36.3075	23.0747	-12.7134	50.5387	66.3227	2.2622	7.1962	47.7267	10.0330	-23.3049	34.7613	20.1718	-39.3126	29.1836	-35.8412	51.9094	63.8216	-33.9223	19.3217	45.2274	-36.4268	-3.3496	37.5914	-31.3406	-18.2669	32.2859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0005	-0.0003	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.6984	91.9886	83.6226	-0.8042	107.4019	85.5006	3.8822	83.9227	80.1484	17.8005	129.2993	57.3504	37.2060	117.9158	32.1838	51.6533	105.9079	5.9331	68.1741	105.7571	-7.7575	35.8972	64.2853	63.6440	58.1354	24.9614	43.0828	66.4895	4.1905	30.5133	71.4596	-12.2419	20.1163	9.2218	55.5190	71.9816	32.2756	7.4359	47.6388	42.8194	-18.1517	31.2948	50.5534	-36.3067	23.0726	-12.7118	50.5374	66.3200	2.2657	7.1963	47.7234	10.0372	-23.3044	34.7565	20.1698	-39.3183	29.1809	-35.8391	51.9072	63.8190	-33.9203	19.3206	45.2227	-36.3928	-3.3480	37.6127	-31.3387	-18.2674	32.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0008	-0.0004	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.6976	91.9865	83.6218	-0.8039	107.4001	85.5006	3.8832	83.9213	80.1474	17.8004	129.2991	57.3515	37.2069	117.9176	32.1853	51.6541	105.9063	5.9383	68.1764	105.7608	-7.7552	35.8983	64.2850	63.6432	58.1385	24.9623	43.0806	66.4929	4.1933	30.5088	71.4651	-12.2381	20.1125	9.2236	55.5178	71.9798	32.2785	7.4360	47.6363	42.8235	-18.1506	31.2919	50.5580	-36.3058	23.0704	-12.7101	50.5360	66.3174	2.2692	7.1964	47.7200	10.0414	-23.3038	34.7516	20.1678	-39.3241	29.1780	-35.8369	51.9050	63.8163	-33.9183	19.3195	45.2178	-36.3589	-3.3464	37.6336	-31.3369	-18.2678	32.2739	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0011	-0.0005	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.6967	91.9843	83.6210	-0.8035	107.3982	85.5006	3.8841	83.9200	80.1464	17.8004	129.2989	57.3527	37.2078	117.9194	32.1869	51.6549	105.9049	5.9436	68.1787	105.7647	-7.7528	35.8993	64.2848	63.6424	58.1416	24.9633	43.0782	66.4965	4.1961	30.5041	71.4707	-12.2342	20.1086	9.2255	55.5166	71.9780	32.2815	7.4363	47.6337	42.8277	-18.1495	31.2889	50.5626	-36.3048	23.0681	-12.7085	50.5347	66.3146	2.2727	7.1966	47.7164	10.0457	-23.3032	34.7466	20.1658	-39.3299	29.1749	-35.8348	51.9028	63.8136	-33.9163	19.3185	45.2129	-36.3252	-3.3448	37.6543	-31.3350	-18.2681	32.2676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0014	-0.0006	-0.0011	-0.0000	0.0000	0.0000	1.0000
0.0000	-22.6959	91.9822	83.6202	-0.8032	107.3964	85.5007	3.8851	83.9186	80.1455	17.8004	129.2988	57.3539	37.2088	117.9213	32.1885	51.6558	105.9037	5.9488	68.1810	105.7687	-7.7505	35.9003	64.2846	63.6415	58.1448	24.9644	43.0758	66.5001	4.1991	30.4993	71.4764	-12.2302	20.1045	9.2274	55.5154	71.9762	32.2845	7.4365	47.6310	42.8319	-18.1483	31.2858	50.5673	-36.3038	23.0656	-12.7068	50.5333	66.3118	2.2763	7.1968	47.7128	10.0500	-23.3026	34.7414	20.1637	-39.3356	29.1718	-35.8326	51.9007	63.8107	-33.9143	19.3175	45.2078	-36.2917	-3.3431	37.6746	-31.3330	-18.2684	32.2612	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0017	-0.0007	-0.0011	0.0000	0.0000	0.0000	1.0000
0.0000	-22.6951	91.9800	83.6194	-0.8029	107.3946	85.5007	3.8860	83.9173	80.1445	17.8003	129.2988	57.3551	37.2097	117.9233	32.1901	51.6567	105.9027	5.9541	68.1834	105.7728	-7.7480	35.9014	64.2845	63.6406	58.1479	24.9655	43.0733	66.5038	4.2022	30.4942	71.4822	-12.2260	20.1002	9.2293	55.5142	71.9743	32.2875	7.4368	47.6283	42.8361	-18.1470	31.2826	50.5720	-36.3027	23.0630	-12.7052	50.5320	66.3090	2.2799	7.1971	47.7091	10.0543	-23.3019	34.7361	20.1617	-39.3413	29.1684	-35.8304	51.8985	63.8079	-33.9123	19.3165	45.2026	-36.2584	-3.3414	37.6946	-31.3311	-18.2686	32.2546	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0020	-0.0008	-0.0011	0.0000	0.0000	0.0000	1.0000
0.0000	-22.6942	91.9779	83.6185	-0.8026	107.3927	85.5008	3.8870	83.9159	80.1434	17.8002	129.2988	57.3564	37.2107	117.9254	32.1918	51.6576	105.9019	5.9593	68.1857	105.7771	-7.7456	35.9024	64.2844	63.6396	58.1511	24.9667	43.0708	66.5075	4.2054	30.4890	71.4881	-12.2217	20.0958	9.2312	55.5131	71.9724	32.2905	7.4372	47.6255	42.8404	-18.1457	31.2793	50.5768	-36.3015	23.0603	-12.7035	50.5307	66.3060	2.2835	7.1973	47.7053	10.0587	-23.3011	34.7306	20.1597	-39.3469	29.1649	-35.8282	51.8963	63.8049	-33.9102	19.3156	45.1973	-36.2253	-3.3397	37.7142	-31.3291	-18.2688	32.2478	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0023	-0.0009	-0.0011	0.0000	0.0000	0.0000	1.0000
0.0000	-22.6934	91.9757	83.6177	-0.8024	107.3909	85.5008	3.8879	83.9146	80.1424	17.8001	129.2988	57.3577	37.2117	117.9276	32.1936	51.6585	105.9013	5.9645	68.1881	105.7816	-7.7430	35.9034	64.2844	63.6387	58.1543	24.9680	43.0681	66.5114	4.2087	30.4837	71.4941	-12.2172	20.0913	9.2331	55.5120	71.9704	32.2936	7.4377	47.6226	42.8447	-18.1443	31.2759	50.5817	-36.3002	23.0575	-12.7018	50.5294	66.3030	2.2872	7.1976	47.7014	10.0631	-23.3003	34.7250	20.1577	-39.3525	29.1613	-35.8260	51.8942	63.8019	-33.9081	19.3147	45.1919	-36.1925	-3.3380	37.7334	-31.3271	-18.2689	32.2408	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0026	-0.0010	-0.0010	0.0000	0.0000	0.0000	1.0000
0.0000	-22.6927	91.9736	83.6168	-0.8022	107.3891	85.5009	3.8888	83.9133	80.1413	17.8000	129.2989	57.3591	37.2126	117.9298	32.1953	51.6595	105.9009	5.9696	68.1904	105.7863	-7.7405	35.9045	64.2844	63.6377	58.1576	24.9693	43.0654	66.5153	4.2122	30.4781	71.5001	-12.2126	20.0866	9.2349	55.5109	71.9684	32.2966	7.4382	47.6196	42.8490	-18.1428	31.2724	50.5865	-36.2988	23.0545	-12.7002	50.5281	66.3000	2.2908	7.1980	47.6973	10.0675	-23.2994	34.7192	20.1556	-39.3581	29.1575	-35.8238	51.8921	63.7988	-33.9061	19.3139	45.1864	-36.1599	-3.3362	37.7523	-31.3251	-18.2690	32.2337	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4414	0.2331	0.0350	0.0484	0.1249	-1.3145	0.1845	-4.6365	-0.0000	0.0000	0.0029	-0.0011	-0.0010	0.0000	0.0000	0.0000	1.0000
