jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	615.9629	641.9681	588.5419	496.8095	765.7340	738.1901
IndMCP_f	220.5169	322.0829	139.8952	185.5033	454.6658	294.5209
MidMCP_f	70.3388	69.7385	63.3023	62.5883	66.5845	95.6982
RinMMCP_fCP	107.6000	87.4386	119.3184	80.6744	58.7824	82.1020
LitMCP_f	162.2528	107.8685	208.8433	124.4611	113.0383	195.0946
ThPIP	402.1618	419.1405	384.2586	324.3665	499.9471	481.9638
IndPIP	94.8406	138.5225	60.1666	79.7818	195.5441	126.6685
MidPIP	30.4068	30.1473	27.3650	27.0563	28.7838	41.3694
RinPIP	54.2773	44.1071	60.1884	40.6950	29.6519	41.4152
LitPIP	87.4363	58.1292	112.5435	67.0708	60.9152	105.1345
ThDIP	157.0299	163.6595	150.0393	126.6536	195.2116	188.1897
IndDIP	41.6600	60.8479	26.4290	35.0453	85.8954	55.6409
MidDIP	12.0190	11.9165	10.8167	10.6947	11.3775	16.3523
RinDIP	19.9122	16.1811	22.0807	14.9294	10.8781	15.1936
LitDIP	33.0601	21.9789	42.5532	25.3598	23.0323	39.7518
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	592.0028	464.2919	549.5167	484.3628	676.3685	721.4247
IndMCP_f	195.6797	225.8655	153.8238	179.6609	419.7704	310.1491
MidMCP_f	76.1638	50.9499	68.9620	61.2531	65.2405	95.0270
RinMMCP_fCP	126.8372	57.3922	102.5089	80.5625	51.6996	78.5126
LitMCP_f	145.9928	88.7135	173.8163	120.7515	78.8319	170.9864
ThPIP	386.5182	303.1358	358.7791	316.2401	441.6005	471.0176
IndPIP	84.1586	97.1410	66.1571	77.2691	180.5362	133.3899
