jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	602.7037	523.9651	402.4610	736.5914	641.2973	748.0234
IndMCP_f	231.8669	261.0596	129.4605	363.0829	363.0660	359.5332
MidMCP_f	74.7957	63.2691	43.7664	59.2161	59.9871	90.5295
RinMMCP_fCP	99.3928	74.3867	93.8325	88.2617	54.1400	79.3580
LitMCP_f	144.4336	82.3558	102.4749	154.6587	103.7717	150.5580
ThPIP	393.5048	342.0964	262.7665	480.9200	418.7025	488.3839
IndPIP	99.7221	112.2774	55.6788	156.1559	156.1486	154.6292
MidPIP	32.3335	27.3506	18.9198	25.5985	25.9318	39.1351
RinPIP	50.1373	37.5233	47.3324	44.5224	27.3101	40.0310
LitPIP	77.8338	44.3807	55.2227	83.3440	55.9215	81.1341
ThDIP	153.6496	133.5765	102.6010	187.7822	163.4885	190.6966
IndDIP	43.8043	49.3194	24.4577	68.5936	68.5904	67.9230
MidDIP	12.7806	10.8110	7.4785	10.1185	10.2502	15.4691
RinDIP	18.3934	13.7658	17.3644	16.3335	10.0190	14.6858
LitDIP	29.4293	16.7806	20.8800	31.5128	21.1442	30.6772
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	567.2391	471.9504	414.3684	680.9413	637.4083	748.2507
IndMCP_f	215.8162	213.2234	140.8803	318.5922	338.8788	360.9541
MidMCP_f	69.7300	57.4625	45.8061	57.2414	59.4109	86.7764
RinMMCP_fCP	104.6362	77.7284	95.8885	89.7321	48.6952	73.5206
LitMCP_f	130.0046	85.2521	98.7842	150.2840	127.0425	156.8796
ThPIP	370.3500	308.1361	270.5408	444.5861	416.1634	488.5323
IndPIP	92.8189	91.7038	60.5903	137.0211	145.7461	155.2403
